Currency,Date,Open,High,Low,Close,Volume,Market Cap
bitcoin-cash,17-Nov-19,267.71,274.04,264.4,268.74,"1,565,942,482","4,869,324,517"
bitcoin-cash,16-Nov-19,264.96,269.5,263.4,267.7,"1,481,946,683","4,849,880,730"
bitcoin-cash,15-Nov-19,280.07,280.27,264.04,264.71,"1,918,658,721","4,795,268,314"
bitcoin-cash,14-Nov-19,286.24,287.01,277.44,279.56,"1,835,340,820","5,063,764,909"
bitcoin-cash,13-Nov-19,289.04,289.66,284.09,286.49,"1,555,824,951","5,188,837,230"
bitcoin-cash,12-Nov-19,287.18,291.64,284.55,289.24,"1,840,497,856","5,238,065,361"
bitcoin-cash,11-Nov-19,293.57,297.01,284.39,287.16,"1,873,466,817","5,199,842,645"
bitcoin-cash,10-Nov-19,282.73,296.04,281.32,293.48,"2,125,907,737","5,313,685,658"
bitcoin-cash,9-Nov-19,277.9,284.1,277.88,282.74,"1,689,515,654","5,118,863,818"
bitcoin-cash,8-Nov-19,293.83,294.61,274.3,277.98,"2,226,108,792","5,032,069,448"
bitcoin-cash,7-Nov-19,306.29,306.67,289.45,293.5,"2,183,103,768","5,312,581,525"
bitcoin-cash,6-Nov-19,293.46,307.36,292.64,306.23,"2,418,826,077","5,542,406,467"
bitcoin-cash,5-Nov-19,291.78,295.8,287.93,293.71,"2,269,171,137","5,315,239,099"
bitcoin-cash,4-Nov-19,292.8,293.98,286.84,291.85,"2,478,124,574","5,281,034,076"
bitcoin-cash,3-Nov-19,290.73,303.13,283.73,292.71,"2,598,715,593","5,296,136,970"
bitcoin-cash,2-Nov-19,279.22,295.23,278.98,290.72,"2,353,771,063","5,259,529,632"
bitcoin-cash,1-Nov-19,284.49,284.49,274.11,279.14,"2,375,427,805","5,049,556,631"
bitcoin-cash,31-Oct-19,290.4,296.56,274.43,284.48,"2,933,178,100","5,145,642,139"
bitcoin-cash,30-Oct-19,289.19,303.61,285.74,290.63,"3,583,344,209","5,256,428,279"
bitcoin-cash,29-Oct-19,265.38,295.47,264.28,288.96,"4,123,613,696","5,225,681,741"
bitcoin-cash,28-Oct-19,261.15,274.81,260.11,265.41,"3,107,818,242","4,799,371,733"
bitcoin-cash,27-Oct-19,252.56,265.96,246.34,261.25,"3,228,198,618","4,723,673,729"
bitcoin-cash,26-Oct-19,259.53,277.12,244.46,252.51,"3,875,753,112","4,565,115,347"
bitcoin-cash,25-Oct-19,214.21,265.03,213.81,259.17,"3,309,084,358","4,685,079,701"
cardano,4-Dec-19,0.037906,0.038533,0.03655,0.037405,"51,692,274","969,802,335"
cardano,3-Dec-19,0.038047,0.038761,0.037226,0.037917,"34,356,883","983,080,974"
cardano,2-Dec-19,0.039612,0.039769,0.03758,0.038056,"43,069,274","986,684,920"
cardano,1-Dec-19,0.040426,0.040426,0.038467,0.039587,"59,641,355","1,026,365,437"
cardano,30-Nov-19,0.041416,0.042268,0.040068,0.040425,"64,184,926","1,048,107,282"
cardano,29-Nov-19,0.039227,0.04204,0.039194,0.041423,"99,506,198","1,073,986,624"
cardano,28-Nov-19,0.039129,0.03999,0.038641,0.03919,"60,743,403","1,016,079,672"
cardano,27-Nov-19,0.036955,0.0398,0.035783,0.039049,"76,841,561","1,012,420,887"
cardano,26-Nov-19,0.036046,0.037074,0.035705,0.036993,"57,431,470","959,117,573"
cardano,25-Nov-19,0.035543,0.037184,0.033336,0.036048,"96,694,224","934,626,616"
cardano,24-Nov-19,0.038371,0.038916,0.035556,0.035588,"62,998,664","922,680,695"
cardano,23-Nov-19,0.037159,0.038423,0.036701,0.038343,"58,979,321","994,122,170"
cardano,22-Nov-19,0.038447,0.038685,0.034611,0.037148,"93,310,136","963,130,806"
cardano,21-Nov-19,0.041169,0.041249,0.037727,0.038406,"67,101,708","995,755,250"
cardano,20-Nov-19,0.042588,0.042794,0.040809,0.041178,"69,854,304","1,067,634,701"
cardano,19-Nov-19,0.043697,0.044451,0.041383,0.042542,"91,311,583","1,102,995,485"
cardano,18-Nov-19,0.045403,0.046652,0.043543,0.043802,"106,595,679","1,135,647,864"
cardano,17-Nov-19,0.044153,0.046423,0.04367,0.045421,"74,834,540","1,177,627,885"
cardano,16-Nov-19,0.043978,0.044655,0.043511,0.044172,"61,781,146","1,145,239,519"
cardano,15-Nov-19,0.04313,0.044432,0.042329,0.043974,"81,592,975","1,140,128,777"
cardano,14-Nov-19,0.043489,0.04355,0.042399,0.043119,"53,295,194","1,117,958,882"
cardano,13-Nov-19,0.043722,0.044044,0.04332,0.043492,"42,332,678","1,127,632,602"
cardano,12-Nov-19,0.043257,0.044631,0.043227,0.043767,"79,520,150","1,134,751,210"
cardano,11-Nov-19,0.043971,0.044122,0.042499,0.043194,"57,846,910","1,119,896,696"
cardano,10-Nov-19,0.042438,0.044227,0.042388,0.043958,"71,691,725","1,139,696,016"
cardano,9-Nov-19,0.042298,0.042755,0.042139,0.042445,"41,365,742","1,100,480,940"
cardano,8-Nov-19,0.043644,0.043837,0.04138,0.042297,"70,275,428","1,096,640,030"
cardano,7-Nov-19,0.044928,0.045018,0.042724,0.043637,"63,525,683","1,131,378,703"
cardano,6-Nov-19,0.044301,0.046105,0.043826,0.044956,"71,743,244","1,165,576,446"
cardano,5-Nov-19,0.043261,0.044928,0.043232,0.044328,"82,868,890","1,149,307,855"
cardano,4-Nov-19,0.041889,0.043257,0.041607,0.043236,"62,120,503","1,120,989,389"
cardano,3-Nov-19,0.042581,0.042684,0.041358,0.04193,"38,559,537","1,087,128,848"
cardano,2-Nov-19,0.042336,0.042745,0.042069,0.042599,"47,127,524","1,104,469,763"
cardano,1-Nov-19,0.041645,0.042858,0.04124,0.042345,"60,880,837","1,097,888,791"
cardano,31-Oct-19,0.041963,0.042792,0.040456,0.041636,"65,333,067","1,079,489,291"
cardano,30-Oct-19,0.043428,0.044337,0.041334,0.041967,"87,541,890","1,088,083,802"
cardano,29-Oct-19,0.042328,0.043819,0.042259,0.043444,"83,357,024","1,126,380,670"
cardano,28-Oct-19,0.042315,0.044553,0.042051,0.042363,"101,906,301","1,098,341,833"
cardano,27-Oct-19,0.040537,0.042985,0.039637,0.042335,"122,643,093","1,097,616,330"
cardano,26-Oct-19,0.04122,0.043177,0.039668,0.040547,"122,861,125","1,051,275,058"
cardano,25-Oct-19,0.037678,0.041799,0.037581,0.041246,"80,455,621","1,069,400,506"
cardano,24-Oct-19,0.036409,0.038109,0.036203,0.037685,"49,800,738","977,063,811"
